taken_from,word_count_mean,word_count_max,word_count_min,rt_count_max,rt_count_mean,like_count_mean,like_count_max,hourly_tweet_mean,replyCount_mean,replyCount_max,unique_reply_count,hashtagCount_max,hashtagCount_mean,links_count_mean,photos_count_all_mean,photos_count_original_mean,videos_count_all_mean,videos_count_original_mean,mentionCount_mean,mentionCount_max
50294938,16.38888888888889,40,2,4.0,1.2777777777777777,3.8333333333333335,19.0,0.0007429079714413298,0.16666666666666666,1.0,2,4,1.4,0.56,0.52,0.7222222222222222,0.12,0.05555555555555555,1.2777777777777777,5
50309214,20.75,49,2,1.0,0.05,1.55,14.0,0.002776823030599973,0.4,3.0,4,3,0.08571428571428572,0.0,0.05714285714285714,0.0,0.37142857142857144,0.05,0.9,2
50313986,19.555555555555557,49,2,133.0,15.5,192.44444444444446,1936.0,0.002646330184652778,7.5,49.0,9,4,0.1794871794871795,0.10256410256410256,0.15384615384615385,0.2222222222222222,0.15384615384615385,0.05555555555555555,1.0555555555555556,4
50315533,6.05,24,2,1.0,0.05,2.7,48.0,0.0018046387465563626,0.15,2.0,3,3,0.08571428571428572,0.05714285714285714,0.2571428571428571,0.0,0.08571428571428572,0.0,1.3,5
50323173,32.25,49,13,1953.0,447.1875,3321.625,10881.0,0.21177376572259776,221.4375,1260.0,16,0,0.0,0.18181818181818182,0.2727272727272727,0.25,0.0,0.0,0.25,1
50374439,16.95,41,0,42055.0,4748.4,55398.9,322735.0,0.0005945758169499251,2265.05,10805.0,20,3,0.3333333333333333,0.14285714285714285,0.5714285714285714,0.6,0.0,0.0,0.4,2
50374512,34.54545454545455,81,4,567.0,145.1818181818182,354.6363636363636,991.0,0.12189434294470955,215.63636363636363,695.0,10,3,0.41935483870967744,0.3548387096774194,0.4838709677419355,0.2727272727272727,0.0967741935483871,0.18181818181818182,0.36363636363636365,1
50392479,30.7,48,9,3.0,0.7,8.9,40.0,0.0014675754990308735,1.5,5.0,4,4,2.4166666666666665,0.08333333333333333,0.6666666666666666,0.8,0.08333333333333333,0.0,0.0,0
50393098,13.6,35,6,9.0,4.0,91.05,212.0,0.015046977020519419,6.4,17.0,10,2,0.47619047619047616,0.0,0.5714285714285714,0.6,0.38095238095238093,0.4,0.25,2
50393960,32.5,57,9,3296.0,1184.0,9866.611111111111,59474.0,0.006611685603330086,0.0,0.0,1,1,0.14285714285714285,0.2857142857142857,0.7142857142857143,0.16666666666666666,0.10714285714285714,0.0,0.8333333333333334,2
50439300,18.5,46,3,0.0,0.0,0.8333333333333334,4.0,0.0007787327274932917,0.3333333333333333,2.0,2,2,0.6111111111111112,0.1111111111111111,0.9722222222222222,0.16666666666666666,0.3611111111111111,0.16666666666666666,0.3333333333333333,1
50466609,5.882352941176471,17,0,0.0,0.0,0.0,0.0,0.6361744708486302,0.0,0.0,1,4,0.6,0.125,0.55,0.058823529411764705,0.1,0.0,1.2352941176470589,3
50468242,3.35,13,0,0.0,0.0,0.0,0.0,0.006958499701074451,0.0,0.0,1,0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0
50522278,30.80952380952381,47,1,6.0,0.6666666666666666,5.095238095238095,54.0,0.0016409304170591126,0.9047619047619048,16.0,3,1,0.043478260869565216,0.7391304347826086,1.0434782608695652,1.0952380952380953,0.0,0.0,0.14285714285714285,1
